"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US01003","Baldwin County, Alabama","239294","null","*****","*****","198355","null","2359","null","21305","null","962","null","884","717","null","null","1956","null","1017","null","0","null","216","null","4735","2574","null","null","12059","2890","null","null","6485","2401","null","null","5574","null","1588","null",
"0500000US01015","Calhoun County, Alabama","115972","null","*****","*****","82072","null","1014","null","22470","null","2355","null","1307","1087","null","null","983","null","343","null","0","null","216","null","2712","1303","null","null","6428","2262","null","null","2215","799","null","null","4213","null","2056","null",
"0500000US01043","Cullman County, Alabama","89496","null","*****","*****","81885","null","562","null","1098","null","632","null","426","433","null","null","509","null","500","null","33","null","62","null","2687","994","null","null","2858","1052","null","null","1464","955","null","null","1394","null","588","null",
"0500000US01049","DeKalb County, Alabama","71813","null","*****","*****","58855","null","2214","null","1160","null","384","null","1822","1318","null","null","71","null","141","null","10","null","21","null","5998","2295","null","null","3897","1208","null","null","1622","1231","null","null","2275","null","449","null",
"0500000US01051","Elmore County, Alabama","89304","null","*****","*****","66105","null","874","null","19046","null","1891","null","167","187","null","null","88","null","121","null","0","null","216","null","338","440","null","null","3560","2017","null","null","1095","632","null","null","2465","null","1877","null",
"0500000US01055","Etowah County, Alabama","103162","null","*****","*****","79421","null","819","null","14722","null","2204","null","123","144","null","null","357","null","377","null","0","null","216","null","2935","1181","null","null","5604","2442","null","null","1312","833","null","null","4292","null","2242","null",
"0500000US01069","Houston County, Alabama","107458","null","*****","*****","69907","null","617","null","29485","null","729","null","157","188","null","null","1143","null","214","null","44","null","72","null","1433","627","null","null","5289","889","null","null","2101","641","null","null","3188","null","611","null",
"0500000US01073","Jefferson County, Alabama","667820","null","*****","*****","326427","null","2223","null","287023","null","3677","null","956","488","null","null","11694","null","822","null","334","null","294","null","16667","3446","null","null","24719","3850","null","null","11477","2788","null","null","13242","null","2990","null",
"0500000US01077","Lauderdale County, Alabama","94043","null","*****","*****","79120","null","635","null","6698","null","1223","null","1228","692","null","null","212","null","326","null","59","null","101","null","900","810","null","null","5826","1607","null","null","1933","1144","null","null","3893","null","1304","null",
"0500000US01081","Lee County, Alabama","177218","null","*****","*****","120083","null","1014","null","38469","null","1816","null","84","114","null","null","7811","null","412","null","0","null","216","null","2008","1146","null","null","8763","2413","null","null","3594","1688","null","null","5169","null","1933","null",
"0500000US01083","Limestone County, Alabama","107517","null","*****","*****","81606","null","1597","null","9993","null","2876","null","1016","851","null","null","2039","null","391","null","400","null","610","null","2101","1815","null","null","10362","2727","null","null","3058","2090","null","null","7304","null","2298","null",
"0500000US01089","Madison County, Alabama","395211","null","*****","*****","256152","null","2609","null","92590","null","2915","null","1962","858","null","null","7782","null","1757","null","373","null","390","null","4933","1988","null","null","31419","4578","null","null","10383","2146","null","null","21036","null","3899","null",
"0500000US01095","Marshall County, Alabama","98228","null","*****","*****","80600","null","2040","null","2955","null","456","null","2406","2767","null","null","760","null","55","null","0","null","216","null","5727","2726","null","null","5780","1909","null","null","4156","1881","null","null","1624","null","446","null",
"0500000US01097","Mobile County, Alabama","413073","null","*****","*****","231092","null","1597","null","149022","null","2298","null","1541","716","null","null","9163","null","685","null","0","null","216","null","7924","1846","null","null","14331","3334","null","null","4279","1519","null","null","10052","null","2707","null",
"0500000US01101","Montgomery County, Alabama","227434","null","*****","*****","72578","null","1758","null","135092","null","1553","null","118","95","null","null","8117","null","241","null","0","null","216","null","3288","1478","null","null","8241","2335","null","null","3990","1893","null","null","4251","null","1393","null",
"0500000US01103","Morgan County, Alabama","123668","null","*****","*****","91851","null","1033","null","15678","null","1373","null","294","241","null","null","130","null","127","null","300","null","507","null","6671","2183","null","null","8744","2429","null","null","3977","2113","null","null","4767","null","1608","null",
"0500000US01115","St. Clair County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01117","Shelby County, Alabama","226902","null","*****","*****","173863","null","3309","null","25172","null","2466","null","1592","1424","null","null","4925","null","640","null","0","null","216","null","5517","1716","null","null","15833","3645","null","null","5614","2194","null","null","10219","null","2649","null",
"0500000US01121","Talladega County, Alabama","81524","null","*****","*****","50663","null","326","null","24736","null","1634","null","0","216","null","null","178","null","188","null","0","null","216","null","1380","569","null","null","4567","1704","null","null","716","583","null","null","3851","null","1623","null",
"0500000US01125","Tuscaloosa County, Alabama","227007","null","*****","*****","137185","null","1426","null","73215","null","1443","null","168","206","null","null","3288","null","692","null","0","null","216","null","2430","1310","null","null","10721","2448","null","null","5521","2002","null","null","5200","null","1663","null",
"0500000US02020","Anchorage Municipality, Alaska","288121","null","*****","*****","164330","null","2092","null","14744","null","1876","null","19194","2699","null","null","27525","null","2164","null","9011","null","827","null","10260","2520","null","null","43057","4358","null","null","8546","1996","null","null","34511","null","4077","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","95593","null","*****","*****","66204","null","1400","null","3913","null","1056","null","5318","1455","null","null","3101","null","724","null","339","null","522","null","2051","1167","null","null","14667","2310","null","null","4927","1527","null","null","9740","null","1863","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","110686","null","*****","*****","84657","null","1429","null","1088","null","275","null","6778","1120","null","null","2252","null","447","null","530","null","158","null","2655","680","null","null","12726","1844","null","null","3757","1310","null","null","8969","null","1277","null",
"0500000US04001","Apache County, Arizona","65623","null","*****","*****","12538","null","623","null","1304","null","1075","null","46556","1239","null","null","629","null","914","null","156","null","173","null","1461","846","null","null","2979","849","null","null","2067","653","null","null","912","null","353","null",
"0500000US04003","Cochise County, Arizona","126050","null","*****","*****","78225","null","3956","null","4095","null","986","null","1477","815","null","null","1944","null","589","null","46","null","81","null","9301","2478","null","null","30962","3977","null","null","23800","3662","null","null","7162","null","1175","null",
"0500000US04005","Coconino County, Arizona","145052","null","*****","*****","78570","null","1766","null","2009","null","433","null","37699","1480","null","null","2717","null","576","null","288","null","337","null","10824","2251","null","null","12945","2530","null","null","6776","2095","null","null","6169","null","1684","null",
"0500000US04013","Maricopa County, Arizona","4496588","null","*****","*****","2609581","null","19690","null","250533","null","7962","null","84315","8151","null","null","193923","null","5863","null","9317","null","1474","null","438600","24225","null","null","910319","23907","null","null","716720","21132","null","null","193599","null","11370","null",
